temperature_k,alpha_1e6_per_k,material_form,method,source,doi,source_location,accessed_utc,claim_class
10,-0.47,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
15,-1.15,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
20,-1.74,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
30,-2.30,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
40,-1.93,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
50,-1.22,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
60,-0.18,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
70,0.60,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
80,1.24,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
90,1.72,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
100,2.28,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
110,2.65,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
120,3.04,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
130,3.33,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
140,3.60,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
150,3.80,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
160,3.97,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
170,4.11,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
180,4.23,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
190,4.33,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
200,4.45,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
210,4.53,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
220,4.61,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
230,4.70,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
300,5.30,microcrystalline_hot_pressed_irtran6,three_terminal_capacitance_dilatometer,Browder_and_Ballard_1972,10.1364/AO.11.000841,official_Optica_HTML_Table_I,2026-07-16,primary_experiment
