composition_x,temperature_coefficient_1e4_ev_per_k,secondary_transcription_reference,secondary_source_locator,primary_source_attribution_status,temperature_operator_status,composition_provenance_status,uncertainty_status,claim_boundary
0.200,3.10,"Chu and Sher, Physics and Properties of Narrow Gap Semiconductors (2008), DOI 10.1007/978-0-387-74801-6","Chapter 3, Table 3.7, page 204",not_uniquely_resolved_from_secondary_text,reported_single_coefficient_fit_interval_not_recovered,not_recovered_from_primary_article,not_reported_in_secondary_table,secondary_transcription_for_external_temperature_slope_screen_not_fit_authority
0.218,3.14,"Chu and Sher, Physics and Properties of Narrow Gap Semiconductors (2008), DOI 10.1007/978-0-387-74801-6","Chapter 3, Table 3.7, page 204",not_uniquely_resolved_from_secondary_text,reported_single_coefficient_fit_interval_not_recovered,not_recovered_from_primary_article,not_reported_in_secondary_table,secondary_transcription_for_external_temperature_slope_screen_not_fit_authority
0.226,2.90,"Chu and Sher, Physics and Properties of Narrow Gap Semiconductors (2008), DOI 10.1007/978-0-387-74801-6","Chapter 3, Table 3.7, page 204",not_uniquely_resolved_from_secondary_text,reported_single_coefficient_fit_interval_not_recovered,not_recovered_from_primary_article,not_reported_in_secondary_table,secondary_transcription_for_external_temperature_slope_screen_not_fit_authority
0.276,2.34,"Chu and Sher, Physics and Properties of Narrow Gap Semiconductors (2008), DOI 10.1007/978-0-387-74801-6","Chapter 3, Table 3.7, page 204",not_uniquely_resolved_from_secondary_text,reported_single_coefficient_fit_interval_not_recovered,not_recovered_from_primary_article,not_reported_in_secondary_table,secondary_transcription_for_external_temperature_slope_screen_not_fit_authority
0.330,1.70,"Chu and Sher, Physics and Properties of Narrow Gap Semiconductors (2008), DOI 10.1007/978-0-387-74801-6","Chapter 3, Table 3.7, page 204",not_uniquely_resolved_from_secondary_text,reported_single_coefficient_fit_interval_not_recovered,not_recovered_from_primary_article,not_reported_in_secondary_table,secondary_transcription_for_external_temperature_slope_screen_not_fit_authority
0.344,1.40,"Chu and Sher, Physics and Properties of Narrow Gap Semiconductors (2008), DOI 10.1007/978-0-387-74801-6","Chapter 3, Table 3.7, page 204",not_uniquely_resolved_from_secondary_text,reported_single_coefficient_fit_interval_not_recovered,not_recovered_from_primary_article,not_reported_in_secondary_table,secondary_transcription_for_external_temperature_slope_screen_not_fit_authority
0.362,1.37,"Chu and Sher, Physics and Properties of Narrow Gap Semiconductors (2008), DOI 10.1007/978-0-387-74801-6","Chapter 3, Table 3.7, page 204",not_uniquely_resolved_from_secondary_text,reported_single_coefficient_fit_interval_not_recovered,not_recovered_from_primary_article,not_reported_in_secondary_table,secondary_transcription_for_external_temperature_slope_screen_not_fit_authority
0.366,1.20,"Chu and Sher, Physics and Properties of Narrow Gap Semiconductors (2008), DOI 10.1007/978-0-387-74801-6","Chapter 3, Table 3.7, page 204",not_uniquely_resolved_from_secondary_text,reported_single_coefficient_fit_interval_not_recovered,not_recovered_from_primary_article,not_reported_in_secondary_table,secondary_transcription_for_external_temperature_slope_screen_not_fit_authority
0.416,0.80,"Chu and Sher, Physics and Properties of Narrow Gap Semiconductors (2008), DOI 10.1007/978-0-387-74801-6","Chapter 3, Table 3.7, page 204",not_uniquely_resolved_from_secondary_text,reported_single_coefficient_fit_interval_not_recovered,not_recovered_from_primary_article,not_reported_in_secondary_table,secondary_transcription_for_external_temperature_slope_screen_not_fit_authority
0.443,0.50,"Chu and Sher, Physics and Properties of Narrow Gap Semiconductors (2008), DOI 10.1007/978-0-387-74801-6","Chapter 3, Table 3.7, page 204",not_uniquely_resolved_from_secondary_text,reported_single_coefficient_fit_interval_not_recovered,not_recovered_from_primary_article,not_reported_in_secondary_table,secondary_transcription_for_external_temperature_slope_screen_not_fit_authority
