record_id,source_id,temperature_k,composition_x,carrier_density_1e17_cm3,carrier_density_cm3,gap_eV,gap_provenance,alpha_infinity_uV_per_K,band_edge_mass_theory_m0,band_edge_mass_source_exp_label_m0,conduction_mass_theory_m0,conduction_mass_source_exp_label_m0,source_location,notes
AL70_T1_001,ALIEV1970_HSC_R12,300,0.05,2.0,2e+17,-0.07,Equation_3_empirical_input_not_independent_measurement,175,0.0058,0.004,0.0206,0.020,K42 Table 1,"Columns marked exp. remain thermopower/Hall/Kane-model conditioned; no covariance reported"
AL70_T1_002,ALIEV1970_HSC_R12,300,0.10,0.6,6e+16,+0.01,Equation_3_empirical_input_not_independent_measurement,199,0.0009,0.003,0.0094,0.010,K42 Table 1,"Columns marked exp. remain thermopower/Hall/Kane-model conditioned; no covariance reported"
AL70_T1_003,ALIEV1970_HSC_R12,300,0.10,0.7,7e+16,+0.01,Equation_3_empirical_input_not_independent_measurement,233,0.0009,0.003,0.0097,0.013,K42 Table 1,"Columns marked exp. remain thermopower/Hall/Kane-model conditioned; no covariance reported"
AL70_T1_004,ALIEV1970_HSC_R12,300,0.10,0.8,8e+16,+0.01,Equation_3_empirical_input_not_independent_measurement,188,0.0009,0.003,0.0110,0.013,K42 Table 1,"Columns marked exp. remain thermopower/Hall/Kane-model conditioned; no covariance reported"
AL70_T1_005,ALIEV1970_HSC_R12,300,0.10,1.0,1e+17,+0.01,Equation_3_empirical_input_not_independent_measurement,160,0.0009,0.003,0.0156,0.015,K42 Table 1,"Columns marked exp. remain thermopower/Hall/Kane-model conditioned; no covariance reported"
AL70_T1_006,ALIEV1970_HSC_R12,300,0.10,2.0,2e+17,+0.01,Equation_3_empirical_input_not_independent_measurement,180,0.0009,0.003,0.0196,0.021,K42 Table 1,"Columns marked exp. remain thermopower/Hall/Kane-model conditioned; no covariance reported"
AL70_T1_007,ALIEV1970_HSC_R12,300,0.10,3.3,3.3e+17,+0.01,Equation_3_empirical_input_not_independent_measurement,128,0.0009,0.003,0.0200,0.021,K42 Table 1,"Columns marked exp. remain thermopower/Hall/Kane-model conditioned; no covariance reported"
AL70_T1_008,ALIEV1970_HSC_R12,300,0.10,6.4,6.4e+17,+0.01,Equation_3_empirical_input_not_independent_measurement,102,0.0009,0.003,0.0240,0.025,K42 Table 1,"Columns marked exp. remain thermopower/Hall/Kane-model conditioned; no covariance reported"
AL70_T1_009,ALIEV1970_HSC_R12,300,0.14,1.0,1e+17,+0.07,Equation_3_empirical_input_not_independent_measurement,216,0.0060,0.006,0.0168,0.016,K42 Table 1,"Columns marked exp. remain thermopower/Hall/Kane-model conditioned; no covariance reported"
AL70_T1_010,ALIEV1970_HSC_R12,300,0.15,1.0,1e+17,+0.09,Equation_3_empirical_input_not_independent_measurement,208,0.0073,0.006,0.0173,0.015,K42 Table 1,"Columns marked exp. remain thermopower/Hall/Kane-model conditioned; no covariance reported"
AL70_T1_011,ALIEV1970_HSC_R12,300,0.20,1.0,1e+17,+0.17,Equation_3_empirical_input_not_independent_measurement,250,0.0136,0.013,0.0216,0.018,K42 Table 1,"Columns marked exp. remain thermopower/Hall/Kane-model conditioned; no covariance reported"
