temperature_k,gap_ev,scope,c_reported_ev,c_gap_indexed_ev,c_error_mev,c_fractional_error,gamma_reported,gamma_gap_indexed,gamma_fractional_error,mass_ratio_reported,mass_ratio_gap_indexed,mass_ratio_fractional_error,strict_gap_ratio,strict_c_ratio_reported
1,0.1136,train_1_100k,0.0588,0.0593808620742747,0.580862074274664,0.00987860670535134,47.7656,47.7033725527771,-0.00130276699597476,1,1,0,1,1
10,0.11267,train_1_100k,0.0588,0.0591245750479412,0.324575047941165,0.00551998380852314,47.7553,47.7362672582147,-0.000398547214347289,1.0005,0.994997894619839,-0.00549935570231019,0.99181338028169,1
20,0.11256,train_1_100k,0.0592,0.0590942615286974,-0.105738471302588,-0.00178612282605728,47.7169,47.7401580298256,0.000487417033075754,1.0072,0.994406703631718,-0.012701843097977,0.990845070422535,1.00680272108844
30,0.11444,train_1_100k,0.0598,0.0596123471303178,-0.187652869682177,-0.00313800785421703,47.6421,47.6736612059302,0.000662464625409198,1.0199,1.00452396383863,-0.0150760232977455,1.00739436619718,1.01700680272109
40,0.11715,train_1_100k,0.0607,0.0603591620135047,-0.340837986495292,-0.00561512333600156,47.5582,47.577806741698,0.000412268372184554,1.0361,1.01915765198827,-0.0163520393897594,1.03125,1.03231292517007
50,0.12042,train_1_100k,0.0615,0.061260300267387,-0.23969973261298,-0.00389755662785329,47.4461,47.4621447129013,0.000338167160236047,1.0532,1.0368939674342,-0.0154823704574638,1.06003521126761,1.04591836734694
60,0.12396,train_1_100k,0.0624,0.0622358444321403,-0.164155567859647,-0.00263069820287898,47.331,47.3369326083323,0.000125342974632181,1.0714,1.05619245253315,-0.0141940894781112,1.09119718309859,1.06122448979592
70,0.12765,train_1_100k,0.0634,0.0632527252140443,-0.147274785955734,-0.00232294615072137,47.2091,47.2064149061121,-5.68766167512447e-05,1.0904,1.07641764499552,-0.0128231428874546,1.12367957746479,1.07823129251701
80,0.13144,train_1_100k,0.0643,0.0642971637407152,-0.00283625928479414,-4.41097866997753e-05,47.0821,47.0723601387911,-0.000206869727749415,1.1095,1.09730770299254,-0.0109890013586796,1.15704225352113,1.09353741496599
90,0.13528,train_1_100k,0.0653,0.0653553811397697,0.0553811397696752,0.000848103212399254,46.9418,46.9365368389197,-0.000112120989827713,1.1288,1.11859505475827,-0.00904052555078538,1.19084507042254,1.11054421768707
100,0.13917,train_1_100k,0.0662,0.0664273774112077,0.227377411207666,0.00343470409679258,46.7964,46.7989450064979,5.43846641598567e-05,1.1483,1.14028557280491,-0.00697938447713442,1.22508802816901,1.12585034013605
150,0.15885,heldout_150_300k,0.0712,0.0718507415813618,0.650741581361802,0.00913962895171072,46.1544,46.1028505946569,-0.0011168903797496,1.2529,1.25200499495874,-0.000714346748553973,1.39832746478873,1.2108843537415
200,0.17873,heldout_150_300k,0.0767,0.07732922124105,0.629221241050026,0.00820366676727535,45.593,45.3996820526142,-0.00424007956014649,1.3669,1.36833807272652,0.00105206871498886,1.57332746478873,1.30442176870748
250,0.19868,heldout_150_300k,0.0832,0.0828269913220752,-0.373008677924808,-0.00448327737890397,45.2441,44.694037565001,-0.0121576611093814,1.4938,1.4887606527485,-0.00337350867016917,1.74894366197183,1.41496598639456
300,0.21866,heldout_150_300k,0.0908,0.0883330287265305,-2.46697127346955,-0.0271692871527484,45.1167,43.9873319578576,-0.025032150891852,1.6342,1.61323667515537,-0.0128278820490956,1.92482394366197,1.54421768707483
350,0.23865,high_temperature_extrapolation,0.1,0.0938418219054624,-6.15817809453757,-0.0615817809453757,45.346,43.280272644204,-0.0455547866580504,1.7913,1.74184308481492,-0.027609509956501,2.10079225352113,1.70068027210884
400,0.25866,high_temperature_extrapolation,0.1115,0.0993561266333478,-12.1438733666522,-0.108913662481186,46.0193,42.5725059175303,-0.0748988811752819,1.9672,1.87485646033356,-0.0469416122745235,2.27693661971831,1.89625850340136
450,0.27867,high_temperature_extrapolation,0.1263,0.104870431361233,-21.4295686387668,-0.16967196071866,47.3751,41.8647391908566,-0.116313439109223,2.1657,2.01236729329319,-0.070800529485528,2.45308098591549,2.14795918367347
500,0.29869,high_temperature_extrapolation,0.1468,0.110387491863595,-36.4125081364047,-0.248041608558615,49.8338,41.1566187576729,-0.174122407729837,2.3919,2.15467991649351,-0.0991764218849003,2.62931338028169,2.49659863945578
550,0.31871,high_temperature_extrapolation,0.1763,0.115904552365957,-60.3954476340426,-0.342572022881694,54.0581,40.4484983244891,-0.251758786851756,2.6491,2.30197539347394,-0.131034919982658,2.80554577464789,2.99829931972789
600,0.33874,high_temperature_extrapolation,0.2238,0.121424368642796,-102.375631357204,-0.457442499361947,61.7125,39.7400241847952,-0.356045789997242,2.9445,2.45459764217819,-0.166378793622621,2.9818661971831,3.80612244897959
