temperature_k,krishnamurthy_gap_mev,hansen_gap_mev,laurenti_gap_mev,krish_shift_from_1k_mev,hansen_shift_from_1k_mev,laurenti_shift_from_1k_mev
1,113.600000,92.554736,94.340636,0.000000,0.000000,0.000000
10,112.670000,95.251136,95.215613,-0.930000,2.696400,0.874978
20,112.560000,98.247136,97.103130,-1.040000,5.692400,2.762495
30,114.440000,101.243136,99.454243,0.840000,8.688400,5.113607
40,117.150000,104.239136,102.057887,3.550000,11.684400,7.717251
50,120.420000,107.235136,104.814240,6.820000,14.680400,10.473604
60,123.960000,110.231136,107.669966,10.360000,17.676400,13.329330
70,127.650000,113.227136,110.593975,14.050000,20.672400,16.253339
80,131.440000,116.223136,113.566924,17.840000,23.668400,19.226288
90,135.280000,119.219136,116.576144,21.680000,26.664400,22.235508
100,139.170000,122.215136,119.612991,25.570000,29.660400,25.272356
150,158.850000,137.195136,135.046721,45.250000,44.640400,40.706085
200,178.730000,152.175136,150.693785,65.130000,59.620400,56.353150
250,198.680000,167.155136,166.438197,85.080000,74.600400,72.097561
300,218.660000,182.135136,182.235150,105.060000,89.580400,87.894514
350,238.650000,197.115136,198.063677,125.050000,104.560400,103.723042
400,258.660000,212.095136,213.912659,145.060000,119.540400,119.572023
450,278.670000,227.075136,229.775647,165.070000,134.520400,135.435012
500,298.690000,242.055136,245.648648,185.090000,149.500400,151.308012
550,318.710000,257.035136,261.529052,205.110000,164.480400,167.188416
600,338.740000,272.015136,277.415086,225.140000,179.460400,183.074450
